url,Email,Password
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
demo.nopcommerce.com/login,admin@yourstore.com,admin
